Sput_QMC,Vput_QMC
33.7302931473,100.0000000000
33.8671556315,100.0000000000
33.9754001445,100.0000000000
34.0461859332,100.0000000000
34.0820749153,100.0000000000
34.1059685474,100.0000000000
34.1274687953,100.0000000000
34.1860588227,100.0000000000
34.2993031898,100.0000000000
34.3002475380,100.0000000000
34.3210589506,100.0000000000
34.3907875050,100.0000000000
34.4398752463,100.0000000000
34.5144863137,100.0000000000
34.6229929607,100.0000000000
34.7041974088,100.0000000000
34.8377658036,100.0000000000
34.8795084514,100.0000000000
34.9002929190,100.0000000000
34.9563281886,100.0000000000
35.0445546540,100.0000000000
35.0521153730,100.0000000000
35.0676155537,100.0000000000
35.1102002538,100.0000000000
35.1711971678,100.0000000000
35.1790330464,100.0000000000
35.2144822889,100.0000000000
35.2221159670,100.0000000000
35.2965751880,100.0000000000
35.4084613490,100.0000000000
35.4196667715,100.0000000000
35.4293499356,100.0000000000
35.4606851894,100.0000000000
35.4621018387,100.0000000000
35.5338092396,100.0000000000
35.5654760775,100.0000000000
35.5901242785,100.0000000000
35.5963953672,100.0000000000
35.6452636163,100.0000000000
35.9881962219,100.0000000000
36.0325014746,100.0000000000
36.1869981592,100.0000000000
36.2393092046,100.0000000000
36.4170053407,100.0000000000
36.4365861548,100.0000000000
36.5209891992,100.0000000000
36.5388193145,100.0000000000
36.6358648565,100.0000000000
36.6455611516,100.0000000000
36.6667314601,100.0000000000
36.6872940803,100.0000000000
36.7290243906,100.0000000000
36.7416951502,100.0000000000
36.8088321180,100.0000000000
36.8634845964,100.0000000000
36.9060409169,100.0000000000
36.9134339175,100.0000000000
36.9803781579,100.0000000000
36.9852271583,100.0000000000
37.0269765304,100.0000000000
37.0815605739,100.0000000000
37.1033098305,100.0000000000
37.1072776095,100.0000000000
37.1355310387,100.0000000000
37.3446038418,100.0000000000
37.3583194896,100.0000000000
37.3593516358,100.0000000000
37.3891929400,100.0000000000
37.4168250276,100.0000000000
37.4511898891,100.0000000000
37.4653583084,100.0000000000
37.5016068424,100.0000000000
37.5087180137,100.0000000000
37.5275838272,100.0000000000
37.5287600414,100.0000000000
37.5882335059,100.0000000000
37.6048482551,100.0000000000
