sigma,lambda,sse_rel,rmse_rel,mae_rel,bias_rel
0.7255,0.035,2.71491213814071,0.17977870451450365,0.14866580816967026,0.13951257146582322
0.726,0.035,2.7513848996911316,0.18098227023435234,0.14966949034844193,0.1406852973868661
0.7265,0.035,2.7882070814617066,0.1821893011292724,0.15067338766853258,0.14185844931577804
0.727,0.035,2.8253792011832015,0.183399745585299,0.15168004342468486,0.14303202654013517
0.7275,0.035,2.862901776146209,0.18461355313665512,0.15269106305552532,0.1442060283482441
0.728,0.035,2.900775323200333,0.18583067443753393,0.1537022969176034,0.145380454029142
0.7285,0.035,2.9390003587533844,0.1870510612345433,0.15471374442764713,0.1465553028725972
0.729,0.035,2.977577398770586,0.18827466633980292,0.15572540500344673,0.14773057416910879
0.7295,0.035,3.0165069587737587,0.18950144360468346,0.15673727806385204,0.1489062672099068
0.73,0.035,3.0557895538404862,0.19073134789417706,0.15774936302876977,0.15008238128695167
0.7305,0.035,3.095425698603456,0.19196433506189484,0.15876165931916505,0.15125891569293634
0.731,0.035,3.135415907249476,0.19320036192566525,0.15977416635705466,0.15243586972128345
0.7315,0.035,3.1757606935188707,0.19443938624374357,0.1607868835655093,0.15361324266614837
0.732,0.035,3.216460570704554,0.19568136669159972,0.161799810368649,0.15479103382241619
0.7325,0.035,3.2575160516513737,0.1969262628392914,0.16281294619164294,0.15596924248570507
0.733,0.035,3.29892764875524,0.19817403512939616,0.16382629046070632,0.15714786795236288
0.7335,0.035,3.34069587396245,0.1994246448555029,0.16483984260310014,0.15832690951947032
0.734,0.035,3.3828212387687944,0.20067805414123943,0.16585360204712632,0.1595063664848381
0.7345,0.035,3.4253042542189736,0.20193422591983987,0.16686756822213006,0.16068623814701047
0.735,0.035,3.468145430905641,0.20319312391421995,0.16788174055849364,0.161866523805261
0.7355,0.035,3.511345278968824,0.20445471261757117,0.16889611848763755,0.16304722275959657
0.736,0.035,3.5549043080950637,0.20571895727444298,0.1699107014420173,0.16422833431075448
0.7365,0.035,3.598823027516745,0.20698582386231493,0.17092548885512254,0.16540985776020453
0.737,0.035,3.6431019460112597,0.20825527907363792,0.1719515442011908,0.166591792410147
0.7375,0.035,3.687741571900367,0.2095272902983434,0.17303386277198976,0.1677741375635146
0.738,0.035,3.7327424130494062,0.21080182560679972,0.17411647465236588,0.1689568925239713
0.7385,0.035,3.7781049768665946,0.2120788537332112,0.17519937921097883,0.17014005659591264
0.739,0.035,3.823829770302268,0.21335834405944593,0.1762825758174182,0.17132362908446555
0.7395,0.035,3.869917299848205,0.2146402665992846,0.17736606384220346,0.1725076092954892
0.74,0.035,3.916368071536845,0.21592459198307562,0.1784498426567817,0.17369199653557277
0.7405,0.035,3.9631825909406544,0.21721129144279283,0.1795339116335278,0.1748767901120384
0.741,0.035,4.010361363171338,0.21850033679747766,0.1806182701457422,0.1760619893329388
0.7415,0.035,4.057904892879223,0.2197917004390646,0.18170827485436394,0.17724759350705865
0.742,0.035,4.105813684252419,0.22108535531856993,0.18280239712099058,0.17843360194391286
0.7425,0.035,4.154088241016285,0.2223812749326482,0.18389955795074547,0.17962001395374894
0.743,0.035,4.202729066432607,0.22367943331049117,0.18499737387470702,0.18080682884754448
0.7435,0.035,4.251736663298989,0.22497980500107403,0.18609547714645996,0.1819940459370095
0.744,0.035,4.301111533948076,0.22628236506072916,0.18719386713907848,0.18318166453458343
0.7445,0.035,4.350854180247011,0.22758708904104974,0.18829254322656536,0.1843696839534386
